date,wind,part_time_count,worker_strong_count,worker_trend_count,worker_strong_list,worker_trend_list,boss_pullback_list,boss_bargain_list,top_revenue_list,last_updated
2026 1-6,亂流,53,28,29,世禾、汎銓,臺慶科,,,南亞科、國巨、創意、奇鋐、華星光、廣達,2026/1/6 16:25
2026 1-5,亂流,39,23,24,國巨、台新新光金、世禾,昇陽半導體,,,南亞科、國巨、創意、昇陽半導體、緯創、廣達,2026/1/5 18:55
2026 1-2,強風,42,30,21,定穎投控、世禾、汎銓,緯創,,安國,南亞科、緯創、國巨、創意、華星光、奇鋐,2026/1/5 18:55
2025 12-31,強風,32,19,15,定穎投控、昇陽半導體、中砂,,旺矽,旺矽、安國、中探針,南亞科、威剛、華星光、富喬、定穎投控、緯創,2026/1/5 18:55
2025 12-30,強風,31,15,16,中砂、昇陽半導體,台灣大,,國巨、創意、旺矽,南亞科、威剛、富喬、尖點、華星光、台燿,2026/1/5 18:55
2025 12-29,強風,35,28,17,群翊,台灣大,國巨,旺矽、創意、緯穎,富喬、南亞科、尖點、威剛、華星光、奇鋐,2026/1/5 18:55
2025 12-26,強風,38,38,26,富喬、定穎投控、高力,,國巨,創意、緯穎、國巨,南亞科、富喬、華星光、威剛、創意、台新新光金,2026/1/5 18:55
2025 12-24,強風,25,25,21,華星光、富喬、高力,,緯穎、國巨、創意,國巨、創意、安國,南亞科、華星光、富喬、台燿、威剛、台新新光金,2026/1/5 18:55
2025 12-23,強風,29,27,20,華星光、奇鋐、台燿,汎銓,緯穎、國巨、創意,國巨、創意、旺矽,華星光、南亞科、台新新光金、尖點、富喬、雙鴻,2026/1/5 18:55
2025 12-22,強風,25,16,13,華星光,汎銓,緯穎、創意、國巨,創意、國巨,南亞科、台新新光、奇鋐、台燿、華星光、緯創,2026/1/5 18:55
2025 12-19,亂流,18,12,14,,晶呈科技,創意、緯穎、國巨,創意、緯穎、國巨,台新新光金、奇鋐、雙鴻、尖點、創意、南亞科,2026/1/5 18:55
2025 12-18,無風,12,7,12,,晶呈科技,緯穎、創意、國巨,創意、國巨、信驊,台新新光金、威剛、廣達、南亞科、緯穎、創意,2026/1/5 18:55
2025 12-17,亂流,14,8,14,,晶呈科技,創意、緯穎、國巨,創意、國巨、信驊,台新新光金、廣達、創意、威剛、南亞科、鴻勁,2026/1/5 18:55
2025 12-16,亂流,17,7,15,,晶呈科技、汎銓,國巨、緯穎、高力,創意、國巨、奇鋐,創意、台新新光金、IET-KY、廣達、台燿、國巨,2026/1/5 18:55
2025 12-15,亂流,26,8,11,,晶呈科技,緯穎、高力,緯穎、國巨、高力,尖點、奇鋐、緯穎、創意、緯創、台燿,2026/1/5 18:55
2025 12-12,亂流,32,17,21,台燿,中砂、世禾、群翊,高力、勤凱,,尖點、創意、奇鋐、雙鴻、緯穎、華星光,2026/1/5 18:55
2025 12-11,亂流,29,15,21,,群翊、世禾、鼎炫-KY,高力,宜鼎、威剛、高力,華星光、尖點、國巨、富喬、奇鋐、定穎投控,2026/1/5 18:55
