日期,目前行情方向（延續性）,風度,連續天數,開,高,低,收,漲跌幅,20ma,MACD柱,乖離率,乖離率.1,行情方向-舊
2026.1.6,強風-亂流循環,亂流,亂流2,276/03,279.79,276.03,278.97,1.2,268.08,1.2,4.06%,4.06%,強風-亂流循環
2026.1.5,強風-亂流循環,亂流,亂流1,278.74,281,275.44,275.68,-0.85,267.16,1.26,3.19%,3.19%,強風-亂流循環
2026.1.2,強風-亂流循環,強風,強風8,276.64,278.8,276.64,278.03,0.65,266.37,1.35,4.38%,4.38%,強風-亂流循環
2025.12.31,強風-亂流循環,強風,強風7,274.74,277.36,274.74,276.24,0.62,265.5,1.25,4.05%,4.05%,強風-亂流循環
2025.12.30,強風-亂流循環,強風,強風6,272.73,274.7,271.97,274.54,0.63,264.64,1.12,3.74%,3.74%,強風-亂流循環
2025.12.29,強風-亂流循環,強風,強風5,271.75,273.65,271.75,272.82,0.49,263.9,1.01,3.38%,3.38%,強風-亂流循環
2025.12.26,強風-亂流循環,強風,強風4,270.09,272.27,270.09,271.5,1.75,263.38,0.85,3.08%,3.08%,強風-亂流循環
2025.12.24,強風-亂流循環,強風,強風3,268.21,270.25,268.21,269.75,1.99,262.71,0.65,2.68%,2.68%,強風-亂流循環
2025.12.23,強風-亂流循環,強風,強風2,267.2,268.85,267.2,267.76,0.91,262.03,0.44,2.19%,2.19%,強風-亂流循環
2025.12.22,強風-亂流循環,強風,強風1,263.31,266.85,263.31,266.85,0.016029546,261.364,0.20778987,2.10%,2.10%,強風-亂流循環
2025.12.19,循環的交界,亂流,亂流1,259.93,263.01,259.93,262.64,0.012529396,260.5385,0.001252725,0.81%,0.81%,循環的交界
2025.12.18,循環的交界,無風,無風1,261.3,261.54,259.15,259.39,-0.007879136,259.705,0.053853821,-0.12%,-0.12%,循環的交界
2025.12.17,循環的交界,亂流,亂流5,260.47,263.49,260.47,261.45,0.004649554,259.383,0.34037612,0.80%,0.80%,強風-亂流循環
2025.12.16,循環的交界,亂流,亂流4,265.13,265.67,257.95,260.24,-0.018554835,258.6455,0.56499576,0.62%,0.62%,強風-亂流循環
2025.12.15,強風-亂流循環,亂流,亂流3,264.89,265.82,261.92,265.16,-0.000791348,258.1365,0.932940246,2.72%,2.72%,強風-亂流循環
2025.12.12,強風-亂流循環,亂流,亂流2,264.24,266.64,264.24,265.37,0.00526555,257.6765,1.073197637,2.99%,2.99%,強風-亂流循環
2025.12.11,強風-亂流循環,亂流,亂流1,265.0100098,267.2000122,263.980011,263.98,-0.00260702,257.2205,1.108678089,2.63%,2.63%,強風-亂流循環
2025.12.10,強風-亂流循環,強風,強風3,264.480011,265.1600037,264.1499939,264.67,0.001816874,257.0365,1.129515373,2.97%,2.97%,強風-亂流循環
2025.12.09,強風-亂流循環,強風,強風2,262.6400146,264.1900024,262.6400146,264.19,0.006936769,256.744,1.080464399,2.90%,2.90%,強風-亂流循環
2025.12.08,強風-亂流循環,強風,強風1,261.1900024,262.519989,261.1300049,262.37,0.006598887,256.3695,1.002446932,2.34%,2.34%,強風-亂流循環
2025.12.05,強風-亂流循環,亂流,亂流2,260.0899963,261.5799866,259.6799927,260.65,0.003040099,256.114,0.974196073,1.77%,1.77%,循環的交界
2025.12.04,強風-亂流循環,亂流,亂流1,260.5599976,261.75,259.4599915,259.86,-0.002648244,256.0245,1.006917272,1.50%,1.50%,循環的交界
2025.12.03,強風-亂流循環,強風,強風5,259.4700012,261.9200134,259.4700012,260.55,0.005479875,256.137,1.030813378,1.72%,1.72%,循環的交界
2025.12.02,循環的交界,強風,強風4,259.8099976,261.230011,259.1300049,259.13,-0.002271677,256.065,0.960837837,1.20%,1.20%,循環的交界
2025.12.01,強風-亂流循環,強風,強風3,262.2000122,263.25,259.6000061,259.72,-0.009760561,256.1585,0.888149806,1.39%,1.39%,循環的交界
2025.11.28,強風-亂流循環,強風,強風2,258.5100098,262.8399963,258.5100098,262.28,0.015644362,256.4565,0.63030744,2.27%,2.27%,循環的交界
2025.11.27,循環的交界,強風,強風1,256.5700073,258.769989,256.5700073,258.24,0.008198641,256.558,0.101854383,0.66%,0.66%,循環的交界
2025.11.26,循環的交界,陣風,陣風3,254.8300018,257.769989,254.8300018,256.14,0.006839623,256.747,-0.359783086,-0.24%,-0.24%,無風-陣風循環
2025.11.25,無風-陣風循環,陣風,陣風2,251.4499969,255.5599976,251.4499969,254.4,0.016217944,257.144,-0.85911199,-1.07%,-1.07%,無風-陣風循環
2025.11.24,無風-陣風循環,陣風,陣風1,246.8099976,250.3399963,246.8099976,250.34,0.017766394,257.6335,-1.323140294,-2.83%,-2.83%,無風-陣風循環
2025.11.21,無風-陣風循環,無風,無風1,251.6300049,251.6300049,244.7400055,245.97,-0.027594386,258.352,-1.469126136,-4.79%,-4.79%,無風-陣風循環
2025.11.20,無風-陣風循環,陣風,陣風1,247.7100067,254.1900024,247.7100067,252.95,0.025334414,259.1895,-1.315127744,-2.41%,-2.41%,無風-陣風循環
2025.11.19,無風-陣風循環,無風,無風4,249.6999969,250.5700073,246.5099945,246.7,-0.013436775,259.7655,-1.438922104,-5.03%,-5.03%,無風-陣風循環
2025.11.18,無風-陣風循環,無風,無風3,255.6300049,256.25,249.6699982,250.06,-0.023050477,260.723,-1.063623471,-4.09%,-4.09%,無風-陣風循環
2025.11.17,無風-陣風循環,無風,無風2,256.5299988,259.4100037,255.9299927,255.96,-0.001131707,261.3825,-0.765611168,-2.07%,-2.07%,無風-陣風循環
2025.11.14,無風-陣風循環,無風,無風1,259.7799988,259.7799988,256.25,256.25,-0.01555897,261.6485,-0.763261711,-2.06%,-2.06%,無風-陣風循環
2025.11.13,無風-陣風循環,陣風,陣風2,259.1000061,261.0799866,258.8699951,260.3,0.00571826,262.012,-0.728554884,-0.65%,-0.65%,無風-陣風循環
2025.11.12,無風-陣風循環,陣風,陣風1,257.1000061,259.730011,257.1000061,258.82,0.008258668,262.025,-0.921792502,-1.22%,-1.22%,無風-陣風循環
2025.11.11,無風-陣風循環,無風,無風3,257.5400085,259.8999939,256.6099854,256.7,-0.002176786,261.863,-1.003956355,-1.97%,-1.97%,無風-陣風循環
2025.11.10,無風-陣風循環,無風,無風2,258.8699951,260.0700073,255.8999939,257.26,-0.006180947,262.096,-0.944078062,-1.85%,-1.85%,無風-陣風循環
2025.11.07,無風-陣風循環,無風,無風1,261.9899902,261.9899902,258.0700073,258.86,-0.012399374,262.4905,-0.796564007,-1.38%,-1.38%,無風-陣風循環
2025.11.06,循環的交界,陣風,陣風1,259.8299866,262.269989,259.8299866,262.11,0.011578094,262.815,-0.696056173,-0.27%,-0.27%,循環的交界
2025.11.05,無風-陣風循環,無風,無風2,260.1700134,260.1700134,254.5299988,259.11,-0.007241379,262.952,-0.714429151,-1.46%,-1.46%,循環的交界
2025.11.04,無風-陣風循環,無風,無風1,265.8299866,267.2200012,261,261,-0.017615176,263.1795,-0.364483709,-0.83%,-0.83%,循環的交界
2025.11.03,循環的交界,強風,強風2,264.480011,266.3299866,264.480011,265.68,0.005183307,263.2765,-0.240732693,0.91%,0.91%,循環的交界
2025.10.31,循環的交界,強風,強風1,262.1700134,264.769989,262.1700134,264.31,0.008739791,263.066,-0.352085538,0.47%,0.47%,循環的交界
2025.10.30,循環的交界,無風,無風1,264.2900085,265.7000122,260.3599854,262.02,-0.007800666,262.9265,-0.358679969,-0.34%,-0.34%,循環的交界
2025.10.29,循環的交界,強風,強風3,264.4100037,266.5899963,264.0799866,264.08,-0.000416367,262.677,-0.22737498,0.53%,0.53%,強風-亂流循環
2025.10.28,循環的交界,強風,強風2,264.8099976,265.8299866,263.25,264.19,-0.001964414,262.6295,-0.250816623,0.59%,0.59%,強風-亂流循環
2025.10.27,循環的交界,強風,強風1,263.769989,267.6400146,263.769989,264.71,0.007574604,262.6635,-0.261397548,0.78%,0.78%,強風-亂流循環
2025.10.23,循環的交界,亂流,亂流1,264.1600037,264.1600037,262.1000061,262.72,-0.006617008,262.705,-0.373668709,0.01%,0.01%,循環的交界
2025.10.22,循環的交界,強風,強風3,265.7399902,266.2600098,264.2099915,264.47,-0.005190897,262.8715,-0.321051696,0.61%,0.61%,循環的交界
2025.10.21,循環的交界,強風,強風2,263.6300049,266.9500122,263.6300049,265.85,0.009876543,262.812,-0.438758951,1.16%,1.16%,循環的交界
2025.10.20,循環的交界,強風,強風1,261.6000061,264.1600037,261.6000061,263.25,0.007539804,262.642,-0.697351869,0.23%,0.23%,循環的交界
2025.10.17,無風-陣風循環,陣風,陣風1,263.2000122,263.2000122,261.1199951,261.28,-0.008500304,262.374,-0.832834628,-0.42%,-0.42%,循環的交界
2025.10.16,循環的交界,強風,強風1,261.019989,265.2200012,261.019989,263.52,0.011360147,262.2765,-0.880196174,0.47%,0.47%,循環的交界
2025.10.15,無風-陣風循環,無風,無風3,256.2600098,260.5599976,256.2600098,260.56,0.019485093,261.8915,-1.086395309,-0.51%,-0.51%,循環的交界
2025.10.14,無風-陣風循環,無風,無風2,262.3299866,265.6400146,255.5800018,255.58,-0.02211509,261.768,-0.979094836,-2.36%,-2.36%,循環的交界
2025.10.13,循環的交界,無風,無風1,263.7600098,263.7600098,256.1000061,261.36,-0.014293796,261.818,-0.632981103,-0.17%,-0.17%,循環的交界
2025.10.09,強風-亂流循環,強風,強風5,265.6400146,267.8099976,264.8999939,265.15,-0.000753721,261.7865,-0.339523344,1.28%,1.28%,強風-亂流循環
2025.10.08,強風-亂流循環,強風,強風4,264.9299927,265.5299988,263.2000122,265.35,0.001887861,261.509,-0.41655765,1.47%,1.47%,強風-亂流循環
2025.10.07,強風-亂流循環,強風,強風3,264.1400146,266.1099854,264.1400146,264.85,0.004513388,261.2305,-0.469596059,1.39%,1.39%,強風-亂流循環
2025.10.03,循環的交界,強風,強風2,262.75,264.4299927,262.75,263.66,0.002738267,260.8895,-0.585283465,1.06%,1.06%,強風-亂流循環
2025.10.02,循環的交界,強風,強風1,262.0700073,265.25,262.0700073,262.94,0.00562206,260.4155,-0.640229173,0.97%,0.97%,強風-亂流循環
2025.10.01,循環的交界,亂流,亂流2,261.8599854,263.9700012,261.3800049,261.47,-0.00019119,259.961,-0.702706199,0.58%,0.58%,循環的交界
2025.09.30,循環的交界,亂流,亂流1,257.2399902,261.519989,257.2399902,261.52,0.017468778,259.44,-0.681647309,0.80%,0.80%,循環的交界
2025.09.26,無風-陣風循環,無風,無風1,262.9400024,262.9400024,255.7100067,257.03,-0.023182457,258.9825,-0.491918155,-0.75%,-0.75%,循環的交界
2025.09.25,強風-亂流循環,亂流,亂流2,264.75,266.8200073,263.0400085,263.13,-0.00656926,258.881,0.014751582,1.64%,1.64%,強風-亂流循環
2025.09.24,強風-亂流循環,亂流,亂流1,265.6199951,266.3099976,262.6099854,264.87,-0.00252316,258.424,0.156157168,2.49%,2.49%,強風-亂流循環
2025.09.23,強風-亂流循環,強風,強風4,266.4700012,268.2600098,265.5400085,265.54,-0.001916933,257.872,0.234518306,2.97%,2.97%,強風-亂流循環
2025.09.22,強風-亂流循環,強風,強風3,263.4299927,266.0499878,263.4299927,266.05,0.010521118,257.109,0.11161799,3.48%,3.48%,強風-亂流循環
2025.09.19,強風-亂流循環,強風,強風2,262.6600037,264.5400085,262.6600037,263.28,0.003162507,256.1805,-0.077908646,2.77%,2.77%,強風-亂流循環
2025.09.18,強風-亂流循環,強風,強風1,258.0899963,262.769989,258.0899963,262.45,0.017681957,255.2235,-0.243440981,2.83%,2.83%,強風-亂流循環
2025.09.17,強風-亂流循環,亂流,亂流5,259.2900085,260.75,257.7600098,257.89,-0.005552771,254.385,-0.352039372,1.38%,1.38%,強風-亂流循環
2025.09.16,強風-亂流循環,亂流,亂流4,256.1099854,259.4100037,256.1099854,259.33,0.013720585,253.5565,-0.27302289,2.28%,2.28%,強風-亂流循環
2025.09.15,循環的交界,亂流,亂流3,258.1099854,259.1400146,254.7200012,255.82,-0.008795381,252.9385,-0.191727837,1.14%,1.14%,強風-亂流循環
2025.09.12,強風-亂流循環,亂流,亂流2,256.9100037,259.7999878,256.9100037,258.09,0.005885104,252.5645,0.102283268,2.19%,2.19%,強風-亂流循環
2025.09.11,強風-亂流循環,亂流,亂流1,260.8800049,262.2600098,256.5799866,256.58,-0.015916849,251.9635,0.303113223,1.83%,1.83%,強風-亂流循環
2025.09.10,強風-亂流循環,強風,強風4,259.9500122,261.6000061,259.9500122,260.73,0.004352851,251.411,0.548597598,3.71%,3.71%,強風-亂流循環
2025.09.09,強風-亂流循環,強風,強風3,260.1799927,261.2900085,258.9500122,259.6,-0.000692894,250.541,0.543496878,3.62%,3.62%,強風-亂流循環
2025.09.08,強風-亂流循環,強風,強風2,258.6799927,260.8099976,258.6799927,259.78,0.006782157,249.679,0.511638718,4.05%,4.05%,強風-亂流循環
2025.09.05,強風-亂流循環,強風,強風1,254.7599945,258.0599976,254.7599945,258.03,0.015146746,248.7,0.361294768,3.75%,3.75%,強風-亂流循環
2025.09.04,強風-亂流循環,亂流,亂流4,254.2599945,256.8599854,254.1799927,254.18,0.00129998,247.788,0.284783214,2.58%,2.58%,強風-亂流循環
2025.09.03,強風-亂流循環,亂流,亂流3,251.2700043,254.1999969,251.2700043,253.85,0.011153157,247.056,0.316471749,2.75%,2.75%,強風-亂流循環
2025.09.02,強風-亂流循環,亂流,亂流2,252.6699982,254.7899933,248.75,251.05,-0.005230416,246.166,0.436701143,1.98%,1.98%,強風-亂流循環
2025.09.01,強風-亂流循環,亂流,亂流1,254.9900055,256.75,250.3999939,252.37,-0.010313725,245.465,0.721870527,2.81%,2.81%,強風-亂流循環
2025.08.29,強風-亂流循環,強風,強風4,254.5200043,256.6900024,254.5200043,255,0.003976535,244.54,0.897677096,4.28%,4.28%,強風-亂流循環
2025.08.28,強風-亂流循環,強風,強風3,253.8399963,255.3500061,253.3500061,253.99,0.000630343,243.4915,0.808521427,4.31%,4.31%,強風-亂流循環
2025.08.27,強風-亂流循環,強風,強風2,250.6699982,254.1900024,250.6699982,253.83,0.014184114,242.392,0.659642397,4.72%,4.72%,強風-亂流循環
2025.08.26,強風-亂流循環,強風,強風1,247.4700012,250.2799988,247.3999939,250.28,0.011314046,241.273,0.421705599,3.73%,3.73%,強風-亂流循環
2025.08.25,強風-亂流循環,亂流,亂流5,244.9600067,248.5500031,244.9600067,247.48,0.013680675,240.317,0.32158005,2.98%,2.98%,循環的交界
2025.08.22,強風-亂流循環,亂流,亂流4,245.5899963,246.9700012,244.0700073,244.14,-0.006268317,239.6155,0.336179152,1.89%,1.89%,循環的交界
2025.08.21,強風-亂流循環,亂流,亂流3,241.7700043,246.9400024,241.7700043,245.68,0.018067297,239.047,0.518491857,2.77%,2.77%,循環的交界
2025.08.20,強風-亂流循環,亂流,亂流2,246.7299957,246.7299957,241.0399933,241.32,-0.022877273,238.4095,0.7018494,1.22%,1.22%,循環的交界
