日期,目前行情方向（延續性）,風度,連續天數,開,高,低,收,漲跌幅,20ma,MACD柱,乖離率,乖離率.1,行情方向-舊
2026.1.6,強風-亂流循環,強風,強風11,29933.65,30576.3,29933.65,30576.3,1.57,28455.22,216.73,7.45%,7.45%,強風-亂流循環
2026.1.5,強風-亂流循環,強風,強風10,29779.7,30339.32,29779.7,30105.04,2.57,28325.45,170.22,6.28%,6.28%,強風-亂流循環
2026.1.2,強風-亂流循環,強風,強風9,29016.68,29363.43,29007.75,29349.81,1.33,28209.98,111.62,4.04%,4.04%,強風-亂流循環
2025.12.31,強風-亂流循環,強風,強風8,28723.49,29009.81,28687.9,28963.6,0.89,28132.15,88.24,2.96%,2.96%,強風-亂流循環
2025.12.30,強風-亂流循環,強風,強風7,28723.82,28833.03,28553.64,28707.13,-0.36,28062.18,77.27,2.30%,2.30%,強風-亂流循環
2025.12.29,強風-亂流循環,強風,強風6,28662.79,28841.64,28595.35,28810.89,0.89,27993.95,71.5,2.92%,2.92%,強風-亂流循環
2025.12.26,強風-亂流循環,強風,強風5,28443.48,28590.91,28404.34,28556.02,0.0065,27934.73,47.27,2.22%,2.22%,強風-亂流循環
2025.12.24,循環的交界,強風,強風4,28383.60938,28486.38086,28280.58984,28371.98,0.002172694,27884.6535,26.64868983,1.75%,1.75%,循環的交界
2025.12.23,循環的交界,強風,強風3,28253.14063,28350.36914,28212.83984,28310.47,0.005713395,27836.5315,4.650561903,1.70%,1.70%,循環的交界
2025.12.22,循環的交界,強風,強風2,27986.66016,28168.75,27986.66016,28149.64,0.016366417,27766.6165,-24.47651475,1.38%,1.38%,循環的交界
2025.12.19,循環的交界,強風,強風1,27685.74023,27869.7793,27672.05078,27696.35,0.008293855,27684.3465,-52.2734566,0.04%,0.04%,循環的交界
2025.12.18,循環的交界,無風,無風3,27447.44922,27569.43945,27350.76953,27468.53,-0.002057753,27621.276,-55.5859992,-0.55%,-0.55%,循環的交界
2025.12.17,循環的交界,無風,無風2,27596.17969,27780.68945,27469.59961,27525.17,-0.000417262,27619.1675,-31.02215928,-0.34%,-0.34%,循環的交界
2025.12.16,循環的交界,無風,無風1,27721.09961,27740.66016,27355.66992,27536.66,-0.011852037,27571.915,-2.945561134,-0.13%,-0.13%,循環的交界
2025.12.15,循環的交界,亂流,亂流3,28119.78906,28119.78906,27684.86914,27866.94,-0.01174125,27532.888,42.8945234,1.21%,1.21%,循環的交界
2025.12.12,循環的交界,亂流,亂流2,28097.53906,28272.06055,28071.33984,28198.02,0.006182749,27511.9065,75.05207029,2.49%,2.49%,循環的交界
2025.12.11,循環的交界,亂流,亂流1,28385.23047,28568.01953,27984.18945,28024.75,-0.013238392,27471.8805,87.12153556,2.01%,2.01%,循環的交界
2025.12.10,循環的交界,強風,強風7,28190.75977,28417.08984,28190.75977,28400.73,0.007739882,27465.821,100.4793228,3.40%,3.40%,循環的交界
2025.12.09,循環的交界,強風,強風6,28364.03906,28390.24023,28157.26953,28182.6,-0.004281407,27443.139,91.02948727,2.69%,2.69%,循環的交界
2025.12.08,循環的交界,強風,強風5,28034,28303.7793,28026.39063,28303.78,0.011539662,27423.2565,79.54467357,3.21%,3.21%,循環的交界
2025.12.05,循環的交界,強風,強風4,27796.42969,27980.89063,27738.5,27980.89,0.006662179,27401.543,52.82761821,2.11%,2.11%,循環的交界
2025.12.04,循環的交界,強風,強風3,27773.41992,27880.23047,27636.63086,27795.71,9.61E-05,27385.069,36.95351166,1.50%,1.50%,循環的交界
2025.12.03,循環的交界,強風,強風2,27605.63086,27847.66992,27605.63086,27793.04,0.008299512,27390.256,22.49582642,1.47%,1.47%,循環的交界
2025.12.02,循環的交界,強風,強風1,27550.34961,27741.89063,27477.09961,27564.27,0.00810971,27386.457,-1.187549307,0.65%,0.65%,循環的交界
2025.12.01,循環的交界,陣風,陣風1,27674.16016,27697.06055,27342.5293,27342.53,-0.010278182,27414.0715,-21.66931859,-0.26%,-0.26%,循環的交界
2025.11.28,循環的交界,強風,強風2,27566.11914,27796.90039,27566.11914,27626.48,0.002611186,27463.6745,-37.09073161,0.59%,0.59%,循環的交界
2025.11.27,循環的交界,強風,強風1,27517.24023,27659.06055,27436.58984,27554.53,0.005289764,27494.018,-81.77085559,0.22%,0.22%,循環的交界
2025.11.26,無風-陣風循環,陣風,陣風2,27063.16992,27409.53906,27063.16992,27409.54,0.01848123,27530.668,-136.3738425,-0.44%,-0.44%,無風-陣風循環
2025.11.25,無風-陣風循環,陣風,陣風1,26995.90039,27118.01953,26793.71094,26912.17,0.015391122,27574.928,-189.7688231,-2.40%,-2.40%,無風-陣風循環
2025.11.24,無風-陣風循環,無風,無風2,26596.0293,26764.13086,26482.33008,26504.24,0.00262153,27626.775,-220.9044457,-4.06%,-4.06%,無風-陣風循環
2025.11.21,無風-陣風循環,無風,無風1,26821.9707,26821.9707,26395.98047,26434.94,-0.036148435,27701.2445,-216.5111816,-4.57%,-4.57%,無風-陣風循環
2025.11.20,循環的交界,陣風,陣風1,27212.91016,27493.63086,27183.0293,27426.36,0.031837328,27756.1105,-190.0511919,-1.19%,-1.19%,循環的交界
2025.11.19,循環的交界,無風,無風4,26708.2793,26902.9707,26580.11914,26580.12,-0.006577934,27767.238,-223.2423845,-4.28%,-4.28%,循環的交界
2025.11.18,循環的交界,無風,無風3,27310.40039,27310.40039,26756.11914,26756.12,-0.025182431,27825.8525,-188.4522315,-3.84%,-3.84%,循環的交界
2025.11.17,循環的交界,無風,無風2,27600.74023,27723.76953,27447.31055,27447.31,0.001818049,27872.478,-146.1974986,-1.53%,-1.53%,循環的交界
2025.11.14,循環的交界,無風,無風1,27816.44922,27816.44922,27383.33984,27397.5,-0.018136037,27865.231,-135.7459172,-1.68%,-1.68%,循環的交界
2025.11.13,循環的交界,強風,強風2,27867.58984,28038.24023,27811.81055,27903.56,-0.001557586,27877.7495,-112.3309052,0.09%,0.09%,循環的交界
2025.11.12,循環的交界,強風,強風1,27853.4707,28071.75977,27799.91992,27947.09,0.005835533,27846.357,-114.8051516,0.36%,0.36%,循環的交界
2025.11.11,循環的交界,無風,無風1,28031.53906,28187.69922,27784.94922,27784.95,-0.00303414,27788.66,-119.2378536,-0.01%,-0.01%,循環的交界
2025.11.10,循環的交界,亂流,亂流1,27805.4707,27976.89063,27680.50977,27869.51,0.007887482,27745.5835,-118.39203,0.45%,0.45%,循環的交界
2025.11.07,循環的交界,無風,無風1,27818.53906,27818.53906,27621.48047,27651.41,-0.008890498,27717.204,-111.5929652,-0.24%,-0.24%,循環的交界
2025.11.06,強風-亂流循環,亂流,亂流5,27906.43945,28061.5293,27879.69922,27899.45,0.006580424,27687.8175,-83.37726741,0.76%,0.76%,強風-亂流循環
2025.11.05,強風-亂流循環,亂流,亂流4,27785.91016,27799.08984,27373.05078,27717.06,-0.014208708,27653.4425,-65.78035615,0.23%,0.23%,強風-亂流循環
2025.11.04,強風-亂流循環,亂流,亂流3,28364.75977,28554.60938,28033.61914,28116.56,-0.007694835,27605.6425,-12.65347699,1.85%,1.85%,強風-亂流循環
2025.11.03,強風-亂流循環,亂流,亂流2,28253.5293,28494.99023,28150.44922,28334.59,0.00358583,27518.734,7.232074346,2.96%,2.96%,強風-亂流循環
2025.10.31,強風-亂流循環,亂流,亂流1,28280.4707,28489.75977,28233.34961,28233.35,-0.001915332,27401.15,16.20208479,3.04%,3.04%,強風-亂流循環
2025.10.30,強風-亂流循環,強風,強風2,28350.24023,28527.67969,28116.59961,28287.53,-0.000254818,27280.5095,22.76485256,3.69%,3.69%,強風-亂流循環
2025.10.29,強風-亂流循環,強風,強風1,28157.91016,28395.31055,28139.65039,28294.74,0.012366405,27145.149,21.06885927,4.23%,4.23%,強風-亂流循環
2025.10.28,強風-亂流循環,亂流,亂流1,28041.00977,28087.92969,27885.61914,27949.11,-0.001590362,27031.6045,9.587561557,3.39%,3.39%,強風-亂流循環
2025.10.27,強風-亂流循環,強風,強風1,28029.88086,28196.33008,27993.63086,27993.63,0.016757433,26943.9855,13.00239616,3.90%,3.90%,強風-亂流循環
2025.10.23,強風-亂流循環,亂流,亂流2,27457.07031,27586.84961,27371.66992,27532.26,-0.004218973,26856.6725,0.270337745,2.52%,2.52%,強風-亂流循環
2025.10.22,強風-亂流循環,亂流,亂流1,27614.10938,27725.83008,27490.89063,27648.91,-0.003729406,26774.0895,25.49882635,3.27%,3.27%,強風-亂流循環
2025.10.21,強風-亂流循環,強風,強風2,27742.55078,27969.05078,27742.55078,27752.41,0.002303473,26670.5625,41.83700623,4.06%,4.06%,強風-亂流循環
2025.10.20,強風-亂流循環,強風,強風1,27480.43945,27768.26953,27412.44922,27688.63,0.01414749,26571.41,37.36274153,4.20%,4.20%,強風-亂流循環
2025.10.17,強風-亂流循環,亂流,亂流1,27399.91016,27513.08984,27302.36914,27302.37,-0.012496442,26458.891,34.83685877,3.19%,3.19%,強風-亂流循環
2025.10.16,強風-亂流循環,強風,強風1,27337.32031,27732.7793,27337.32031,27647.87,0.013644374,26375.2545,47.96650554,4.83%,4.83%,強風-亂流循環
2025.10.15,強風-亂流循環,亂流,亂流3,26911.05078,27275.71094,26773.15039,27275.71,0.018010574,26260.719,32.07040164,3.87%,3.87%,強風-亂流循環
2025.10.14,強風-亂流循環,亂流,亂流2,27282.09961,27507.16016,26764.06055,26793.15,-0.004838538,26170.6655,40.38131151,2.38%,2.38%,強風-亂流循環
2025.10.13,強風-亂流循環,亂流,亂流1,26762.59961,26965.7207,26470.43945,26923.42,-0.013863494,26091.7935,60.7000278,3.19%,3.19%,強風-亂流循環
2025.10.09,強風-亂流循環,強風,強風5,27301.60938,27463.11914,27253.07031,27301.92,0.008802942,26005.252,94.34163829,4.99%,4.99%,強風-亂流循環
2025.10.08,強風-亂流循環,強風,強風4,26999.82031,27110.42969,26883.99023,27063.68,-0.005448709,25882.915,80.17031357,4.56%,4.56%,強風-亂流循環
2025.10.07,強風-亂流循環,強風,強風3,27029.2793,27301.41992,27017.08008,27211.95,0.016848735,25757.1,73.59752261,5.65%,5.65%,強風-亂流循環
2025.10.03,強風-亂流循環,強風,強風2,26435.09961,26761.06055,26410.0293,26761.06,0.014506951,25621.2315,33.68931779,4.45%,4.45%,強風-亂流循環
2025.10.02,強風-亂流循環,強風,強風1,26392.31055,26489.78906,26330.25,26378.39,0.015220774,25492.171,12.16094355,3.48%,3.48%,強風-亂流循環
2025.10.01,強風-亂流循環,亂流,亂流4,26078.28906,26325.78906,25982.91016,25982.91,0.006288405,25378.2665,-1.864184917,2.38%,2.38%,強風-亂流循環
2025.09.30,強風-亂流循環,亂流,亂流3,25738.31055,25975.83984,25738.31055,25820.54,0.009390813,25279.96,2.030497459,2.14%,2.14%,強風-亂流循環
2025.09.26,強風-亂流循環,亂流,亂流2,25998.2793,25998.2793,25469.03906,25580.32,-0.017043212,25192.5195,24.43381667,1.54%,1.54%,強風-亂流循環
2025.09.25,強風-亂流循環,亂流,亂流1,26067.9707,26247.84961,26023.84961,26023.85,-0.006599297,25125.1585,69.61320338,3.58%,3.58%,強風-亂流循環
2025.09.24,強風-亂流循環,強風,強風2,26389.16016,26394.0293,26045.4707,26196.73,-0.001929336,25035.7885,85.87356297,4.64%,4.64%,強風-亂流循環
2025.09.23,強風-亂流循環,強風,強風1,26121,26307.30078,26041.68945,26247.37,0.014171619,24951.947,84.87051087,5.19%,5.19%,強風-亂流循環
2025.09.22,循環的交界,亂流,亂流4,25599.59961,25887.68945,25599.59961,25880.6,0.011815843,24854.8335,69.51917469,4.13%,4.13%,循環的交界
2025.09.19,循環的交界,亂流,亂流3,25794.66016,25864.00977,25578.36914,25578.37,-0.007411515,24774.6725,73.74835344,3.24%,3.24%,循環的交界
2025.09.18,循環的交界,亂流,亂流2,25543.16992,25769.35938,25475.25,25769.36,0.013016226,24683.9775,85.03949214,4.40%,4.40%,循環的交界
2025.09.17,循環的交界,亂流,亂流1,25543.91016,25632.07031,25422.96094,25438.25,-0.007467526,24593.616,85.70360208,3.43%,3.43%,循環的交界
2025.09.16,循環的交界,強風,強風9,25335.46094,25664.81055,25335.46094,25629.64,0.010745683,24502.9755,96.03737057,4.60%,4.60%,循環的交界
2025.09.15,循環的交界,強風,強風8,25494.09961,25519.93945,25284.16992,25357.16,-0.004611645,24439.1685,91.21371946,3.76%,3.76%,循環的交界
2025.09.12,循環的交界,強風,強風7,25349.69922,25492.2793,25349.69922,25474.64,0.010268598,24395.4365,90.17473561,4.42%,4.42%,循環的交界
2025.09.11,循環的交界,強風,強風6,25509.30078,25541.43945,25174.13086,25215.71,0.00091773,24338.4285,69.78372672,3.60%,3.60%,循環的交界
2025.09.10,循環的交界,強風,強風5,25032.88086,25272.23047,25032.88086,25192.59,0.013575037,24289.548,43.89361581,3.72%,3.72%,循環的交界
2025.09.09,循環的交界,強風,強風4,24650.46094,24880.07031,24650.46094,24855.18,0.012539016,24248.4195,6.875814989,2.50%,2.50%,循環的交界
2025.09.08,循環的交界,強風,強風3,24610.84961,24729.96094,24547.38086,24547.38,0.002155579,24213.5785,-19.37184371,1.38%,1.38%,循環的交界
2025.09.05,循環的交界,強風,強風2,24244.25977,24494.58008,24244.25977,24494.58,0.01301621,24192.9845,-40.99589579,1.25%,1.25%,循環的交界
2025.09.04,循環的交界,強風,強風1,24235.26953,24389.34961,24168.16016,24179.85,0.003300789,24169.3185,-59.22318875,0.04%,0.04%,循環的交界
2025.09.03,循環的交界,無風,無風3,24036.88086,24103.23047,23925.49023,24100.3,0.003477569,24160.5145,-66.41295478,-0.25%,-0.25%,循環的交界
2025.09.02,循環的交界,無風,無風2,24113.90039,24295.0293,23890.33008,24016.78,-0.002282761,24127.8675,-58.73575218,-0.46%,-0.46%,循環的交界
2025.09.01,循環的交界,無風,無風1,24143.36914,24312.83008,23885.41016,24071.73,-0.006659074,24110.058,-45.46751732,-0.16%,-0.16%,循環的交界
2025.08.29,循環的交界,亂流,亂流2,24438.0293,24570.15039,24233.09961,24233.1,-0.000138222,24075.4185,-27.99288155,0.65%,0.65%,循環的交界
2025.08.28,循環的交界,亂流,亂流1,24468.11914,24502.36914,24236.44922,24236.45,-0.011559998,24035.4825,-25.92284848,0.84%,0.84%,循環的交界
2025.08.27,循環的交界,強風,強風3,24449.81055,24539.88086,24410.08008,24519.9,0.008837651,24000.786,-23.62115388,2.16%,2.16%,循環的交界
2025.08.26,循環的交界,強風,強風2,24237.35938,24382.41992,24113.0293,24305.1,0.001141804,23947.877,-42.510515,1.49%,1.49%,循環的交界
2025.08.25,循環的交界,強風,強風1,24108.81055,24362.01953,24108.75,24277.38,0.021583061,23892.698,-51.40577266,1.61%,1.61%,循環的交界
2025.08.22,循環的交界,無風,無風1,24033.01953,24071.65039,23764.4707,23764.47,-0.008248849,23849.478,-64.23196376,-0.36%,-0.36%,循環的交界
